============================
Start command conflicts with hotkeys, out of identified conflicts (log file: UnknownHotkeyCommandCheck.log)
[ERROR]: R used for command InjectLarva/Queen, in seed Z
[ERROR]: R used for command LaunchNullWard/NullSphere, in seed Z
[ERROR]: R used for command LockdownRound/Ghost, in seed Z
[ERROR]: R used for command Matrix/Medic, in seed Z
[ERROR]: F used for command MorphtoDevourer/Mutalisk, in seed Z
[ERROR]: 5 used for command MutateintoDefilerMound/Drone, in seed Z
[ERROR]: R used for command PhaseMissile/Scout, in seed Z
[ERROR]: R used for command PlaceWard/Oracle, in seed Z
[ERROR]: R used for command Probe/KhaydarinNexus, in seed Z
[ERROR]: F used for command Recall/Arbiter, in seed Z
[ERROR]: 5 used for command ResearchCharonBooster/FactoryTechLab, in seed Z
[ERROR]: 5 used for command ResearchEngineeredExplosives/BarracksTechLab, in seed Z
[ERROR]: 5 used for command ResearchFortifiedBunkers/EngineeringBay, in seed Z
[ERROR]: R used for command ResearchGraviticBooster/Observatory, in seed Z
[ERROR]: R used for command ResearchMatrix/BarracksTechLab, in seed Z
[ERROR]: F used for command ResearchPiercingRockets/StarportTechLab, in seed Z
[ERROR]: F used for command ResearchRecall/ArbiterTribunal, in seed Z
[ERROR]: F used for command ResearchSingularityCharge2/CyberneticsCore, in seed Z
[ERROR]: R used for command ResearchSpiderMines/FactoryTechLab, in seed Z
[ERROR]: R used for command ResearchTimeWarp/FleetBeacon, in seed Z
[ERROR]: R used for command ResearchTurboGripper/StarportTechLab, in seed Z
[ERROR]: R used for command RetributionField/Meliak, in seed Z
[ERROR]: F used for command Rift/KhaydarinNexus, in seed Z
[ERROR]: F used for command Rift/Nexus, in seed Z
[ERROR]: R used for command SJHyperionBlink/Battlecruiser, in seed Z
[ERROR]: R used for command SlivanPuke/Devourer, in seed Z
[ERROR]: R used for command StasisField/Arbiter, in seed Z
[ERROR]: R used for command StasisField/ArbiterTribunal, in seed Z
[ERROR]: F used for command TimeWarpSentinel/Oracle, in seed Z
[ERROR]: F used for command UpgradeLIDARTransmitter/EngineeringBay, in seed Z
[ERROR]: R used for command UseSpiderMine/Vulture, in seed Z
[ERROR]: R used for command WarpinDragoon/Gateway, in seed Z
[ERROR]: C used for command WarpinObservatory/Probe, in seed Z
[ERROR]: E used for command WormholeTransit/Predator, in seed Z
[ERROR]: R used for command XaphanForce/Voranor, in seed Z
----------------------------
Finished (command conflicts with hotkeys, out of identified conflicts) - ERRORs: 133 
============================
