============================
Start command conflicts with hotkeys, within identified conflicts (log file: KnownHotkeyCommandCheck.log)
[ERROR]: B used for command ResearchRegenerativeBioSteel/Armory, in seed T contexts=['Coop']
[ERROR]: B used for command ResearchSOAOrbitalStrikeUpgrade/SolarForge, in seed T contexts=['Coop']
[ERROR]: A used for command ResearchSOASolarLanceUpgrade/SolarForge, in seed T contexts=['Coop']
[ERROR]: S used for command ResearchShadowFury/DarkShrine, in seed T contexts=['Coop']
[ERROR]: S used for command ResearchShockwaveMissileBattery/StarportTechLab, in seed T contexts=['Coop']
[ERROR]: S used for command ResearchShockwaveMissileBattery/StarportTechReactor, in seed T contexts=['Coop']
[ERROR]: S used for command ResearchStabilizerMedpacks/BarracksTechLab, in seed T contexts=['Coop']
[ERROR]: S used for command ResearchStabilizerMedpacks/BarracksTechReactor, in seed T contexts=['Coop']
[ERROR]: B used for command ResearchStructureBarrier/Forge, in seed T contexts=['Coop']
[ERROR]: V used for command ResearchVoidStasis/DarkShrine, in seed T contexts=['Coop']
[ERROR]: V used for command Salvage/KelMorianGrenadeTurret, in seed T contexts=['Coop']
[ERROR]: V used for command Salvage/KelMorianMissileTurret, in seed T contexts=['Coop']
[ERROR]: V used for command Salvage/MissileTurret, in seed T contexts=['Coop']
[ERROR]: V used for command Salvage/PerditionTurret, in seed T contexts=['Coop']
[ERROR]: B used for command ShadowGuardBlink/VorazunShadowGuard, in seed T contexts=['Coop']
[ERROR]: B used for command ShieldBatteryStructureBarrier/ShieldBattery, in seed T contexts=['Coop']
[ERROR]: V used for command VoidStasis/DarkTemplarShakuras, in seed T contexts=['Coop']
[ERROR]: V used for command VoidStasis/VorazunShadowGuard, in seed T contexts=['Coop']
[ERROR]: Q used for command ZagaraVoidCoopBanelingBarrage/ZagaraVoidCoop, in seed T contexts=['Coop']
[ERROR]: Q used for command ZagaraVoidCoopBanelingBarrage/ZagaraVoidCoopBurrowed, in seed T contexts=['Coop']
[ERROR]: B used for command ZagaraVoidCoopBanelingSpawner/BanelingNest, in seed T contexts=['Coop']
[ERROR]: W used for command ZagaraVoidCoopSpawnHunterKillers/ZagaraVoidCoop, in seed T contexts=['Coop']
[ERROR]: W used for command ZagaraVoidCoopSpawnHunterKillers/ZagaraVoidCoopBurrowed, in seed T contexts=['Coop']
[ERROR]: V used for command ZeratulStun/ZeratulVoid, in seed T contexts=['LotV Campaign']
[ERROR]: G used for command DisableBuildingAttackScourge/Scourge, in seed R contexts=['Coop']
[ERROR]: E used for command MorphtoOverseerSiege/Overseer, in seed R contexts=['Coop']
[ERROR]: V used for command PrologueVoidArmor/PrologueZeratul, in seed R contexts=['LotV Prologue']
[ERROR]: H used for command ResearchBunkerUpgrade/ScienceFacility, in seed R contexts=['Left2Die']
[ERROR]: E used for command ShadowBlade/PrologueZeratul, in seed R contexts=['LotV Prologue']
[ERROR]: C used for command 250mmStrikeCannons/ThorWreckageSwann, in seed Z contexts=['Coop']
[ERROR]: C used for command ArchonAdvancedMergeSelection, in seed Z contexts=['Coop']
[ERROR]: R used for command BrokenSolarForge/SolarForge, in seed Z contexts=['Coop']
[ERROR]: X used for command Brutalisk/Larva, in seed Z contexts=['Coop']
[ERROR]: C used for command BuildCreepTumor/QueenCoop, in seed Z contexts=['Coop']
[ERROR]: C used for command Charge/ShadowOfTheVoidZealot, in seed Z contexts=['LotV Prologue']
[ERROR]: C used for command Consume/GiantYeti, in seed Z contexts=['HotS Campaign']
[ERROR]: C used for command Consume/Lyote, in seed Z contexts=['HotS Campaign']
[ERROR]: R used for command DarkPylonRecall/DarkPylon, in seed Z contexts=['Coop']
[ERROR]: D used for command DefensiveMatrixTarget/ScienceVessel, in seed Z contexts=['Coop']
